time	FourE_BP1_obs	FourE_BP1pT37_46_obs	Akt_obs	AktpS473_obs	AktpT308_obs	Coomassie _obs	ERK_obs	GAPDH_obs	IRS1_obs	IRS1pS636_639_obs	PRAS40_obs	PRAS40pS183_obs	PRAS40pT246_obs	S6K_obs	S6KpT229_obs	S6KpT389_obs	TSC2_obs	TSC2pT1462_obs	Insulin_indep
0.0	0.579242	0.786872	1.471105	0.371519	0.501515	1.0	1.255062	1.424298	1.822234	1.030294	1.062971	0.649465	0.346406	1.227063	0.75881	0.228051	1.132111	0.565478	1.0
10.909091	0.691473	0.957518	1.382981	0.730651	0.780476	1.0	1.164824	1.747381	2.092263	1.328376	1.054247	0.931238	0.926344	1.396519	1.245347	0.748317	1.175868	0.948857	1.0
21.818182	0.781525	1.031583	1.313325	0.858526	0.867401	1.0	1.110397	1.820207	1.822209	1.420421	1.0541	1.013472	1.100397	1.453452	1.575319	1.383817	1.125963	1.037073	1.0
32.727273	0.825541	1.044441	1.249178	0.847041	0.843382	1.0	1.08371	1.757103	1.407641	1.369182	1.051743	0.980052	1.049321	1.451269	1.802782	1.934219	1.044928	0.952976	1.0
43.636364	0.771371	1.047528	1.168311	0.833743	0.832191	1.0	1.075786	1.736674	1.53168	1.258953	1.027313	0.958844	1.053454	1.474281	2.004534	2.021904	1.03909	0.88323	1.0
54.545455	0.717201	1.050614	1.087445	0.820445	0.821001	1.0	1.067862	1.716246	1.655719	1.148724	1.002883	0.937637	1.057587	1.497293	2.206286	2.10959	1.033253	0.813484	1.0
65.454545	0.672534	1.037605	1.058045	0.800672	0.782882	1.0	1.051322	1.627199	1.585649	1.151151	0.975055	0.907548	1.037292	1.45163	2.16625	2.111628	1.013128	0.737323	1.0
76.363636	0.637369	1.008501	1.08011	0.774424	0.717833	1.0	1.026167	1.469533	1.321471	1.266236	0.94383	0.868577	0.99257	1.337292	1.884425	2.028019	0.978717	0.654745	1.0
87.272727	0.602205	0.979397	1.102175	0.748176	0.652784	1.0	1.001012	1.311868	1.057292	1.381321	0.912604	0.829607	0.947848	1.222953	1.602601	1.944409	0.944305	0.572167	1.0
98.181818	0.603282	0.957235	1.14072	0.776778	0.666259	1.0	1.019508	1.318014	1.149808	1.531154	0.923357	0.866638	0.977897	1.318991	1.611221	1.989419	0.910914	0.559937	1.0
