,D,T,E,EA72,EA48,EA24,EA1.25,A72,A48,A24,A1.25
4EBP-pT3746,0.328615514,0.429414282,0.306241992,0.15615989,0.298389377,0.242106842,0.253597983,0.191528035,0.172133481,0.124510953,0.247795553
Akt-pT308,0.139644511,0.10670747,0.605668941,0.237119643,0.287956444,0.14510579,0.534247624,0.069310366,0.135153663,0.163223267,0.626221207
ERK-pT202,0.368715459,0.530612666,0.976351095,0.123769392,0.076779533,0.055462655,0.063560349,0.059305766,0.072562114,0.106597688,0.068749076
PDK1-pS241,0.182512327,0.182796401,0.236976134,0.22099633,0.166031779,0.129349848,0.070465599,0.067167027,0.138684952,0.322884485,0.267475691
PRAS40-pS183,0.174237435,0.224055076,0.151129041,0.13700074,0.116851521,0.131965179,0.198085167,0.094052619,0.120767981,0.282909351,0.206798519
PRAS40-pT246,0.125297131,0.065850185,0.338925686,0.404456086,0.10406963,0.356582504,0.368671905,0.141098219,0.088971326,0.208535522,0.431842659
S6K-pT389,0.22129312,0.33045167,0.229657814,,0.134186282,0.060365597,0.065779057,,0.161714868,0.190875535,0.307139657
SMAD2-pS465-467,0.035958403,0.058863464,0.194844585,0.218984833,0.11090616,0.089654144,0.12385654,0.16827914,0.183943341,0.195906222,0.192157122
TSC2,0.133875119,0.143280948,0.141922646,0.20623271,0.465272312,0.286086671,0.256170673,0.375942958,0.233957789,0.564252352,0.392047436
TSC2-pT1462,0.229663696,0.259631772,0.550730399,0.899860457,0.755985,0.725854378,0.353712638,0.522888352,0.409694832,0.810815446,0.666187974
Mek,0.13578688,0.18528029,0.184406016,,0.046954063,0.204224054,0.093851597,,0.155066961,0.62282591,0.666191339
