Time	[TGFbR]	[TGFbR_a]	[TGFbR_EE]	[TGFbR_Cav]	[Smad2]	[pSmad2]	[Mek]	[pMek]	[Erk]	[pErk]	[PI3K]	[pPI3K]	[Akt]	[pAkt]	[mTORC1]	[pmTORC1]	[S6K]	[pS6K]	[Raf]	[pRaf]	[ppMek]	[ppErk]	Values[_kTGFbOn]	Values[TGFb]	Values[kTGFbOff]	Values[kTGFbRIntern]	Values[kTGFbRRecyc]	Values[kSmad2Phos_km]	Values[_kSmad2Phos_kcat]	Values[kSmad2Dephos_km]	Values[kSmad2Dephos_Vmax]	Values[GrowthFactors]	Values[kRafPhos_km]	Values[kRafPhos_ki]	Values[kRafPhos_Vmax]	Values[kRafPhos_n]	Values[kRafDephos_km]	Values[kRafDephosVmax]	Values[kMekPhos_km1]	Values[_kMekPhos_ki]	Values[kMekPhos_kcat]	Values[AZD]	Values[kMekDephos_km]	Values[kMekDephos_Vmax]	Values[kErkPhos_km1]	Values[kErkPhos_kcat]	Values[kErkDephos_km]	Values[kErkDephos_Vmax]	Values[_kPI3KPhosByGF]	Values[_kPI3KDephosByS6K]	Values[kAktPhos_km]	Values[_kAktPhos_ki]	Values[_kAktPhos_kcat]	Values[MK2206]	Values[kAktDephos_km]	Values[kAktDephos_Vmax]	Values[kmTORC1Phos_km]	Values[_kmTORC1Phos_ki]	Values[_kmTORC1Phos_kcat]	Values[Everolimus]	Values[_kmTORCPhosBasal_Vmax]	Values[kmTORCPhosBasal_km]	Values[kmTORC1Dephos_km]	Values[kmTORC1Dephos_Vmax]	Values[kS6KPhosBymTORC1_km]	Values[_kS6KPhosBymTORC1_kcat]	Values[kS6KDephos_km]	Values[kS6KDephos_Vmax]	Values[kRafPhosByTGFbR_km]	Values[_kRafPhosByTGFbR_kcat]	Values[kRafPhosByPI3K_km]	Values[_kRafPhosByPI3K_kcat]	Values[kPI3KPhosByTGFbR_km]	Values[_kPI3KPhosByTGFbR_kcat]	Values[_kPI3KDephosByErk]	Values[kSmad2PhosByAkt_km]	Values[kSmad2PhosByAkt_kcat]	Values[kSmad2DephosByErk_km]	Values[kSmad2DephosByErk_kcat]	Values[Experiment]
0	76.8397	0.966719	12.5503	9.66719	29.286	5.29631	10.6235	3.05445	0.0455768	59.7334	246.51	3.75554	6.29368	0.00773284	235.456	7.63789	9.44945	5.19623	0.137418	1.78254	0.100446	1.00752	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
0.1	76.9321	0.886483	12.5395	9.66583	32.8527	1.72965	13.4341	0.329681	60.7508	0.0355781	171.228	79.0377	0.0172516	6.28416	235.413	7.68142	10.598	4.04764	0.553925	1.36603	0.0146945	8.61065e-05	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
0.2	77.0172	0.818474	12.5262	9.66204	34.2085	0.373779	13.4322	0.331438	60.7729	0.0135789	157.878	92.3876	0.014747	6.28667	235.367	7.72758	11.4549	3.19081	0.546722	1.37323	0.0148496	6.70925e-06	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
0.3	77.096	0.760809	12.5109	9.65619	34.4897	0.092661	13.4304	0.33309	60.7728	0.0137141	145.035	105.231	0.0129389	6.28848	235.321	7.77371	12.0722	2.57344	0.539973	1.37998	0.0149964	6.84276e-06	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
0.4	77.1694	0.711895	12.4939	9.64862	34.5456	0.0367476	13.4288	0.334526	60.7726	0.0138334	133.669	116.597	0.0116719	6.28974	235.274	7.8198	12.5037	2.14201	0.534135	1.38582	0.0151248	6.96308e-06	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
0.5	77.2384	0.670383	12.4755	9.63958	34.5566	0.0257194	13.4275	0.335683	60.7725	0.0139306	124.377	125.889	0.0108066	6.29061	235.228	7.86586	12.7975	1.84822	0.529453	1.3905	0.0152288	7.06225e-06	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
0.6	77.3035	0.635133	12.4559	9.62931	34.5588	0.023544	13.4266	0.336555	60.7725	0.0140046	117.293	132.973	0.0102283	6.29119	235.182	7.91187	12.9932	1.65247	0.525938	1.39402	0.0153075	7.13843e-06	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
0.7	77.3654	0.605181	12.4353	9.61801	34.5592	0.0231104	13.4259	0.337177	60.7724	0.0140578	112.202	138.064	0.00984944	6.29157	235.136	7.95784	13.1211	1.52456	0.52344	1.39652	0.0153639	7.19356e-06	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
0.8	77.4245	0.57971	12.4138	9.60583	34.5593	0.0230188	13.4254	0.3376	60.7724	0.0140942	108.722	141.544	0.00960614	6.29181	235.091	8.00377	13.2031	1.44263	0.521745	1.39821	0.0154023	7.23151e-06	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
0.9	77.4813	0.558031	12.3917	9.59291	34.5593	0.022994	13.4251	0.337876	60.7724	0.0141181	106.449	143.816	0.00945363	6.29196	235.045	8.04964	13.2543	1.39142	0.520644	1.39931	0.0154274	7.25648e-06	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
1	77.536	0.539559	12.3689	9.57938	34.5593	0.022982	13.4249	0.338047	60.7723	0.014133	105.038	145.227	0.00936129	6.29205	234.999	8.09548	13.2852	1.36052	0.519962	1.39999	0.015443	7.27215e-06	0.0025196	0.005	1	0.33	0.033	50	0.0162288	60	65	1	10	3.5	9000	1	8	3602.5	15	0.001	90	0	15	2700	50	200	15	1800	101.148	53.7288	12.5	279.186	81.5796	0	15	30	3	0.00294802	0.452565	1	0.00121874	25	100	1	100	6.06204	10	50	25	0.0502796	50	61.3502	10	0.274127	91.1842	40	0.1	30	7.5	1
