name,start_value,lower_bound,upper_bound
Akt,6.29368384718846,0.01,100
Erk,0.045576828954062794,0.01,100
Mek,10.623545408592195,0.01,100
PI3K,246.51005592497415,0.01,100
Raf,0.1374179205960945,0.01,100
S6K,9.449455622816417,0.01,100
Smad2,29.28601753634299,0.01,100
mTORC1,235.4564099250809,0.01,100
pAkt,0.007732838783269953,0.01,100
pErk,59.73339635912247,0.01,100
pMek,3.0544507185031606,0.01,100
pPI3K,3.7555450595476034,0.01,100
pRaf,1.7825384258095918,0.01,100
pS6K,5.196232350773731,0.01,100
pSmad2,5.296308068331909,0.01,100
pmTORC1,7.637894853736934,0.01,100
ppErk,1.0075176736489189,0.01,100
ppMek,0.10044581158082766,0.01,100
_kAktPhos_kcat,81.5796026313727,0.01,100
_kAktPhos_ki,279.185578534311,0.01,100
_kMekPhos_ki,0.001,0.01,100
_kPI3KDephosByErk,91.1841998214853,0.01,100
_kPI3KDephosByS6K,53.7288161761565,0.01,100
_kPI3KPhosByGF,101.148488926392,0.01,100
_kPI3KPhosByTGFbR_kcat,0.274127213104624,0.01,100
_kRafPhosByPI3K_kcat,61.3502015418875,0.01,100
_kRafPhosByTGFbR_kcat,0.0502796204512501,0.01,100
_kS6KPhosBymTORC1_kcat,6.06204259693966,0.01,100
_kSmad2Phos_kcat,0.016228806691197,0.01,100
_kTGFbOn,0.00251959961398397,0.01,100
_kmTORC1Phos_kcat,0.452565077656586,0.01,100
_kmTORC1Phos_ki,0.00294801909869728,0.01,100
_kmTORCPhosBasal_Vmax,0.00121874073143371,0.01,100
