Time	[TGFbR]	[TGFbR_a]	[TGFbR_EE]	[TGFbR_Cav]	[Smad2]	[pSmad2]	[Mek]	[pMek]	[Erk]	[pErk]	[PI3K]	[pPI3K]	[Akt]	[pAkt]	[mTORC1]	[pmTORC1]	[S6K]	[pS6K]	[Raf]	[pRaf]	[ppMek]	[ppErk]	Values[Smad2Tot]	Values[_kTGFbOn]	Values[TGFb]	Values[kTGFbOff]	Values[kTGFbRIntern]	Values[kTGFbRRecyc]	Values[kSmad2Phos_km]	Values[_kSmad2Phos_kcat]	Values[kSmad2Dephos_km]	Values[kSmad2Dephos_Vmax]	Values[GrowthFactors]	Values[kRafPhos_km]	Values[kRafPhos_ki]	Values[kRafPhos_Vmax]	Values[kRafPhos_n]	Values[kRafDephos_km]	Values[kRafDephosVmax]	Values[kMekPhos_km1]	Values[_kMekPhos_ki]	Values[kMekPhos_kcat]	Values[AZD]	Values[kMekDephos_km]	Values[kMekDephos_Vmax]	Values[kErkPhos_km1]	Values[kErkPhos_kcat]	Values[kErkDephos_km]	Values[kErkDephos_Vmax]	Values[_kPI3KPhosByGF]	Values[_kPI3KDephosByS6K]	Values[kAktPhos_km]	Values[_kAktPhos_ki]	Values[_kAktPhos_kcat]	Values[MK2206]	Values[kAktDephos_km]	Values[kAktDephos_Vmax]	Values[kmTORC1Phos_km]	Values[_kmTORC1Phos_ki]	Values[_kmTORC1Phos_kcat]	Values[Everolimus]	Values[_kmTORCPhosBasal_Vmax]	Values[_kmTORCPhosBasal_km]	Values[kmTORC1Dephos_km]	Values[_kmTORC1Dephos_Vmax]	Values[kS6KPhosBymTORC1_km]	Values[_kS6KPhosBymTORC1_kcat]	Values[kS6KDephos_km]	Values[kS6KDephos_Vmax]	Values[kRafPhosByTGFbR_km]	Values[_kRafPhosByTGFbR_kcat]	Values[kRafPhosByPI3K_km]	Values[_kRafPhosByPI3K_kcat]	Values[kPI3KPhosByTGFbR_km]	Values[_kPI3KPhosByTGFbR_kcat]	Values[_kPI3KDephosByErk]	Values[kSmad2PhosByAkt_km]	Values[kSmad2PhosByAkt_kcat]	Values[kSmad2DephosByErk_km]	Values[kSmad2DephosByErk_kcat]
0	76.8397	0.966719	12.5503	9.66719	49.6779	0.500563	252.876	56.0643	183.332	117.882	99.9603	0.0396972	99.4132	0.586759	90.2725	9.72754	90.507	9.49301	87.9326	12.0674	29.0295	43.0863	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
0.1	76.9286	0.889936	12.5395	9.66589	50.1514	0.0270913	313.719	18.129	165.608	118.296	97.8965	2.10346	99.2972	0.702813	90.2759	9.72407	92.5604	7.43961	84.5063	15.4937	6.12215	60.397	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
0.2	77.0104	0.824856	12.5264	9.66226	50.165	0.0134197	300.852	25.4554	197.358	107.476	97.185	2.81498	99.116	0.884	90.2792	9.72076	94.3003	5.69967	78.2146	21.7854	11.6622	39.4664	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
0.3	77.0862	0.769678	12.5114	9.65667	50.164	0.0144951	306.67	22.5781	187.05	109.095	96.5622	3.43778	98.8928	1.10719	90.2823	9.71766	95.7196	4.28043	81.9441	18.0559	8.72218	48.1554	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
0.4	77.1569	0.722875	12.4947	9.64942	50.1645	0.0139636	302.65	24.7385	195.66	105.758	95.5217	4.47831	98.5942	1.40582	90.2852	9.71482	96.8298	3.17023	79.8513	20.1487	10.5817	42.8828	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
0.5	77.2233	0.683156	12.4767	9.64077	50.1638	0.014704	304.946	23.5255	192.205	106.628	94.514	5.48601	98.2236	1.77642	90.2877	9.71233	97.662	2.338	81.0357	18.9643	9.49826	45.4681	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
0.6	77.286	0.649431	12.4576	9.63094	50.1635	0.0149433	303.415	24.3762	194.293	105.742	93.2026	6.79743	97.7568	2.24322	90.2897	9.71026	98.2614	1.73856	80.3634	19.6366	10.1788	44.2648	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
0.7	77.3456	0.620775	12.4374	9.62012	50.1628	0.0156682	304.314	23.875	193.108	106.166	92.0296	7.97041	97.2078	2.79218	90.2913	9.70872	98.6786	1.32138	80.738	19.262	9.78054	45.0262	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
0.8	77.4025	0.596409	12.4165	9.60847	50.1622	0.0162696	303.741	24.2037	193.502	105.981	90.814	9.18601	96.5779	3.42211	90.2922	9.70778	98.9611	1.03889	80.5264	19.4736	10.025	44.8174	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
0.9	77.4572	0.57567	12.3949	9.59611	50.1614	0.0170652	304.096	23.9979	193.111	106.172	89.8658	10.1342	95.8961	4.10388	90.2925	9.70752	99.1485	0.851486	80.6486	19.3514	9.87585	45.0171	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
1	77.51	0.558001	12.3727	9.58316	50.1606	0.0178178	303.897	24.1141	193.223	106.125	89.0506	10.9494	95.1814	4.81856	90.292	9.70797	99.271	0.728976	80.5846	19.4154	9.95864	44.9524	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
1.1	77.5612	0.542929	12.3501	9.56972	50.1598	0.01862	304.048	24.0234	193.225	106.158	88.4802	11.5198	94.4611	5.53886	90.2908	9.70915	99.3503	0.649699	80.6272	19.3728	9.8986	44.9174	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
1.2	77.6109	0.530053	12.3271	9.55586	50.1591	0.0193769	303.989	24.0577	193.415	106.081	88.0449	11.9551	93.751	6.24904	90.2889	9.71107	99.4012	0.59876	80.6104	19.3896	9.92305	44.8045	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
1.3	77.6595	0.519036	12.3037	9.54166	50.1583	0.0201156	304.061	24.0129	193.64	106.004	87.7552	12.2448	93.0653	6.93466	90.2863	9.71369	99.4338	0.566198	80.6268	19.3732	9.89598	44.6565	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
1.4	77.707	0.509591	12.2801	9.52716	50.1577	0.0208032	304.053	24.0172	193.936	105.875	87.546	12.454	92.4106	7.5894	90.283	9.717	99.4545	0.545473	80.625	19.375	9.89989	44.4892	50.1785	0.1	0.005	1	0.33	0.033	50	0.1	60	65	1	10	3.5	9000	1	8	3602.5	15	0.25	90	0	15	2700	50	200	15	1800	0.239475	25	12.5	0.01	1.5	0	15	30	3	0.001	0.35	1	0.1	0.1	100	1	100	0.5	10	50	25	265	50	5	10	50	0.5	40	0.1	30	7.5
