name,start_value,lower_bound,upper_bound
_kAktPhos_kcat,1.5,0.001,1000
_kAktPhos_ki,0.01,0.001,1000
_kMekPhos_ki,0.25,0.001,1000
_kPI3KDephosByErk,0.5,0.001,1000
_kPI3KDephosByS6K,25.0,0.001,1000
_kPI3KPhosByGF,0.239474698704283,0.001,1000
_kPI3KPhosByTGFbR_kcat,50.0,0.001,1000
_kRafPhosByPI3K_kcat,5.0,0.001,1000
_kRafPhosByTGFbR_kcat,265.0,0.001,1000
_kS6KPhosBymTORC1_kcat,0.5,0.001,1000
_kSmad2Phos_kcat,0.1,0.001,1000
_kTGFbOn,0.1,0.001,1000
_kmTORC1Dephos_Vmax,1.0,0.001,1000
_kmTORC1Phos_kcat,0.35,0.001,1000
_kmTORC1Phos_ki,0.001,0.001,1000
_kmTORCPhosBasal_Vmax,0.1,0.001,1000
_kmTORCPhosBasal_km,0.1,0.001,1000
