name,start_value,lower_bound,upper_bound
Akt,25.50119999999996,0.001,1000
Erk,0.0009999999999999994,0.001,1000
Mek,64.17269999999999,0.001,1000
PI3K,18.829600000000024,0.001,1000
Raf,0.8555440000000005,0.001,1000
S6K,2.6636600000000015,0.001,1000
Smad2,0.0010440699999999972,0.001,1000
TGFbR,160.14800000000034,0.001,1000
TGFbR_a,60.32229999999999,0.001,1000
mTORC1,131.7329999999996,0.001,1000
pAkt,6.110820000000001,0.001,1000
pErk,0.0029595699999999956,0.001,1000
pMek,116.94099999999963,0.001,1000
pPI3K,38.20000000000005,0.001,1000
pRaf,27.28839999999996,0.001,1000
pS6K,9.641259999999999,0.001,1000
pSmad2,601.1550000000003,0.001,1000
pmTORC1,74.4414,0.001,1000
ppErk,148.61600000000055,0.001,1000
ppMek,0.0010866400000000035,0.001,1000
_kAktPhos_kcat,3.84124,0.001,1000
_kAktPhos_ki,0.311348,0.001,1000
_kMekPhos_ki,1.01271,0.001,1000
_kPI3KDephosByErk_kcat,1.0,0.001,1000
_kPI3KDephosByErk_km,1.0,0.001,1000
_kPI3KDephosByS6K_kcat,0.1,0.001,1000
_kPI3KPhosByGF_kcat,0.1,0.001,1000
_kPI3KPhosByTGFbR_kcat,3.66587,0.001,1000
_kRafPhosByPI3K_kcat,1000.0,0.001,1000
_kRafPhosByTGFbR_kcat,64.4923,0.001,1000
_kRafPhos_ki,362.567,0.001,1000
_kS6KPhosBymTORC1_kcat,21.666,0.001,1000
_kSmad2Phos_kcat,100.643,0.001,1000
_kTGFbRAct_Vmax,20.0,0.001,1000
_kTGFbRDephos_Vmax,150.0,0.001,1000
_kmTORC1Phos_kcat,0.00100034,0.001,1000
_kmTORC1Phos_ki,0.001,0.001,1000
_kmTORCPhosBasal_Vmax,17.2123,0.001,1000
