ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank
0,Null,460.151,171.2674378,113,127
1,RafPhosByTGFbR,178.488,108.7632384,32,90
2,PI3KPhosByTGFbR,452.262,170.1260973,112,123
3,RafPhosByPI3K,153.53,102.4699222,1,19
4,PI3KDephosByErk,447.073,173.0124319,116,121
5,MekPhosByPI3K,343.129,155.547814,99,110
6,PI3KPhosByMek,437.865,171.6388895,114,116
7,MekDephosByAkt,453.426,173.9437044,120,126
8,RafPhosByTGFbR_PI3KPhosByTGFbR,170.917,105.9025797,9,82
9,RafPhosByTGFbR_RafPhosByPI3K,153.502,102.4578844,0,18
10,RafPhosByTGFbR_PI3KDephosByErk,202.2,120.6437693,93,95
11,RafPhosByTGFbR_MekPhosByPI3K,154.644,102.9470833,4,46
12,RafPhosByTGFbR_PI3KPhosByMek,162.466,106.2037245,11,76
13,RafPhosByTGFbR_MekDephosByAkt,193.191,117.6356233,86,93
14,PI3KPhosByTGFbR_RafPhosByPI3K,153.875,102.6180656,2,30
15,PI3KPhosByTGFbR_PI3KDephosByErk,452.522,173.8119882,119,125
16,PI3KPhosByTGFbR_MekPhosByPI3K,342.171,155.3632874,98,108
17,PI3KPhosByTGFbR_PI3KPhosByMek,441.954,172.2523701,115,119
18,PI3KPhosByTGFbR_MekDephosByAkt,452.521,173.8118423,118,124
19,RafPhosByPI3K_PI3KDephosByErk,153.953,106.4547043,17,33
20,RafPhosByPI3K_MekPhosByPI3K,153.73,106.3590344,14,25
21,RafPhosByPI3K_PI3KPhosByMek,156.145,107.3877927,26,52
22,RafPhosByPI3K_MekDephosByAkt,178.607,116.2583774,79,91
23,PI3KDephosByErk_MekPhosByPI3K,336.559,158.0750274,103,104
24,PI3KDephosByErk_PI3KPhosByMek,427.075,173.7953149,117,112
25,PI3KDephosByErk_MekDephosByAkt,442.623,176.1553924,124,120
26,MekPhosByPI3K_PI3KPhosByMek,343.204,159.36543,106,111
27,MekPhosByPI3K_MekDephosByAkt,331.73,157.1211899,101,103
28,PI3KPhosByMek_MekDephosByAkt,434.064,174.8666498,121,114
29,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K,171.143,109.6377517,35,83
30,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk,172.714,110.2408321,45,89
31,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K,154.509,102.8894419,3,41
32,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek,156.065,103.5507778,5,51
33,RafPhosByTGFbR_PI3KPhosByTGFbR_MekDephosByAkt,171.742,109.8683482,37,85
34,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,157.548,107.97817,31,64
35,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,155.157,106.968854,22,48
36,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,162.348,109.9589624,38,74
37,RafPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,171.799,113.693441,65,87
38,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,155.899,107.2837304,24,49
39,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,156.571,107.5676109,27,54
40,RafPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,179.307,116.5165403,80,92
41,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,151.067,105.205726,8,5
42,RafPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,154.565,106.71655,21,44
43,RafPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,156.046,107.3459337,25,50
44,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,153.729,106.3586051,13,24
