ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank
0,Null,453.226,177.71777773893,112,126
1,RafPhosByTGFbR,178.567,120.212142298302,26,93
2,PI3KPhosByTGFbR,452.475,181.576872014356,115,125
3,RafPhosByPI3K,152.123,109.634026829817,1,24
4,PI3KDephosByErk,446.861,180.752866719579,114,122
5,MekPhosByPI3K,343.167,163.326861960233,97,111
6,PI3KPhosByMek,437.428,179.344726131189,113,116
7,MekDephosByAkt,453.866,181.779458175815,116,127
8,RafPhosByTGFbR_PI3KPhosByTGFbR,170.866,121.447508848973,31,79
9,RafPhosByTGFbR_RafPhosByPI3K,168.364,120.473921640277,27,76
10,RafPhosByTGFbR_PI3KDephosByErk,171.786,121.801921757165,33,86
11,RafPhosByTGFbR_MekPhosByPI3K,172.545,122.092886445984,35,90
12,RafPhosByTGFbR_PI3KPhosByMek,154.127,114.642731593032,8,59
13,RafPhosByTGFbR_MekDephosByAkt,178.494,124.330082848741,57,92
14,PI3KPhosByTGFbR_RafPhosByPI3K,152.64,114.002879401121,5,30
15,PI3KPhosByTGFbR_PI3KDephosByErk,450.968,185.501615007127,121,123
16,PI3KPhosByTGFbR_MekPhosByPI3K,343.123,167.463326601758,102,110
17,PI3KPhosByTGFbR_PI3KPhosByMek,440.624,183.97011936091,119,119
18,PI3KPhosByTGFbR_MekDephosByAkt,451.849,185.630425205554,122,124
19,RafPhosByPI3K_PI3KDephosByErk,153.43,114.343586532092,7,50
20,RafPhosByPI3K_MekPhosByPI3K,152.979,114.149297059553,6,42
21,RafPhosByPI3K_PI3KPhosByMek,142.045,109.254951674189,0,6
22,RafPhosByPI3K_MekDephosByAkt,152.315,113.862202854609,4,26
23,PI3KDephosByErk_MekPhosByPI3K,337.088,166.292159267744,100,105
24,PI3KDephosByErk_PI3KPhosByMek,427.072,181.908326433478,117,112
25,PI3KDephosByErk_MekDephosByAkt,441.323,184.074737914315,120,120
26,MekPhosByPI3K_PI3KPhosByMek,342.868,167.414258900359,101,109
27,MekPhosByPI3K_MekDephosByAkt,331.148,165.118770446263,98,101
28,PI3KPhosByMek_MekDephosByAkt,432.59,182.755619908733,118,114
29,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K,152.716,118.369066191426,15,32
30,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk,171.126,125.881195426278,65,83
31,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K,153.89,118.874499083656,23,57
32,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek,154.148,118.985056897833,24,60
33,RafPhosByTGFbR_PI3KPhosByTGFbR_MekDephosByAkt,170.958,125.816369238023,64,81
34,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,179.315,128.966293388034,77,94
35,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,172.545,126.426219779317,66,89
36,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,139.836,112.553827313278,3,3
37,RafPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,153.053,118.514548624282,21,46
38,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,147.217,115.948694484208,9,11
39,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,161.774,122.172006793217,38,75
40,RafPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,202.244,136.908129716354,92,95
41,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,153.593,118.746999312312,22,52
42,RafPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,152.803,118.406654689393,18,36
43,RafPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,152.398,118.231491333508,12,28
44,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,152.72,118.37079486781,16,33
45,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,152.835,118.420474960484,19,37
46,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,153.049,118.512823709057,20,45
47,PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,152.785,118.398879514967,17,34
48,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,337.712,170.747555469301,108,107
49,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,440.537,188.290419888618,125,118
50,PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,439.591,188.148540470979,124,117
51,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,341.341,171.452997548952,109,108
52,PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,331.148,169.452103779596,104,102
53,PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,441.941,188.500428700586,126,121
54,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,152.591,118.3150222261,13,29
55,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,135.869,110.654405317614,2,0
56,RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,160.187,121.521351289554,32,73
57,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,157.908,120.575617633352,29,68
58,RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,152.707,118.365176504008,14,31
59,RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,156.35,119.92119456391,25,66
60,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,336.449,170.500261135981,107,104
61,PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,311.938,165.507880733763,99,98
62,PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,432.59,187.088953242066,123,113
63,MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,331.177,169.457883419505,105,103
64,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,170.961,130.352411127994,82,82
65,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,172.544,130.960720990228,85,88
66,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,153.013,123.032181163996,44,44
67,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,159.123,125.616384959365,61,70
68,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,153.818,123.37849637923,51,55
69,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,153.25,123.134328685063,45,48
70,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,170.386,130.13005653929,81,78
71,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,153.383,123.191582800246,47,49
72,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,154.36,123.610648167368,54,61
73,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,150.884,122.107418505301,37,20
74,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,152.849,122.961404140127,41,38
75,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,139.267,116.819605707305,10,2
76,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,152.324,122.734319606548,40,27
77,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,153.949,123.434681743627,53,58
78,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,159.514,125.77836246325,63,72
79,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,140.689,117.490088262704,11,4
80,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,153.518,123.249647130924,48,51
81,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,147.352,120.544073373495,28,12
82,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,150.838,122.087294019692,34,18
83,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,150.881,122.106106225878,36,19
84,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,153.636,123.300357851821,49,54
85,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,155.891,124.262035722708,56,64
86,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,152.912,122.988601853759,42,39
87,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,148.527,121.068276900431,30,14
88,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,152.98,123.017945544172,43,43
89,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,155.147,123.94629234954,55,63
90,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,337.154,175.173297498718,111,106
91,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,278.608,162.58485195903,96,96
