ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,1.24714,-132.82777267835124,10,14,140
1,AktActivate,0.195371,-155.82043231154705,1,2,2
2,ErkActivate,1.24938,-126.13239403692153,14,15,210
3,AktInhibit,0.161241,-158.89243511024824,0,0,0
4,ErkInhibit,0.750386,-134.2894335000591,8,11,88
5,AktActivate_ErkActivate,0.292377,-144.0367989729733,5,6,30
6,AktActivate_AktInhibit,0.199625,-150.14245431498787,2,3,6
7,AktActivate_ErkInhibit,0.24242600000000006,-147.0343598728433,3,4,12
8,ErkActivate_AktInhibit,0.494781,-135.61966017270612,7,9,63
9,ErkActivate_ErkInhibit,0.580745,-133.05651582664112,9,10,90
10,AktInhibit_ErkInhibit,0.752765,-128.90545451398464,12,12,144
11,AktActivate_ErkActivate_AktInhibit,0.259542,-141.57917102838354,6,5,30
12,AktActivate_ErkActivate_ErkInhibit,0.46038,-132.40903188923227,11,7,77
13,AktActivate_AktInhibit_ErkInhibit,0.185624,-146.94229769852126,4,1,4
14,ErkActivate_AktInhibit_ErkInhibit,0.755708,-124.47938672500072,15,13,195
15,AktActivate_ErkActivate_AktInhibit_ErkInhibit,0.494617,-127.62496440825953,13,8,104
