ModelID,Topology,RSS,AICc,# Estimated Parameters,AICc Rank,RSS Rank
0,Null,1.43003,-282.7607370096251,23,0,15
1,AktActivateSmad2,1.2663799999999998,-247.19139673785034,24,4,13
2,AktInhibitSmad2,1.1057,-249.90507309975544,24,3,9
3,ErkActivateSmad2,0.506201,-265.531074578466,24,1,0
4,ErkInhibitSmad2,1.06971,-250.5668937970459,24,2,7
5,AktActivateSmad2_AktInhibitSmad2,1.17775,-223.3091953657862,25,8,10
6,AktActivateSmad2_ErkActivateSmad2,0.644703,-235.3606228047317,25,5,1
7,AktActivateSmad2_ErkInhibitSmad2,1.27385,-221.74043592145267,25,10,14
8,AktInhibitSmad2_ErkActivateSmad2,0.909538,-228.47768215171266,25,6,2
9,AktInhibitSmad2_ErkInhibitSmad2,1.07438,-225.14643711749295,25,7,8
10,ErkActivateSmad2_ErkInhibitSmad2,1.22916,-222.45469195266034,25,9,12
11,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2,0.946105,-209.59410849115028,26,12,5
12,AktActivateSmad2_AktInhibitSmad2_ErkInhibitSmad2,1.19874,-204.8606539393529,26,14,11
13,AktActivateSmad2_ErkActivateSmad2_ErkInhibitSmad2,1.02443,-208.0033468355124,26,13,6
14,AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.933727,-209.85749753649353,26,11,4
15,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.929914,-196.36790887566016,27,15,3
