ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f,"sum(AICc, RSS ranks)"
0,Null,20.1265,-35.2807067479709,0,96,0,96
1,RafPhosByTGFbR,20.0817,-31.7798221025045,8,93,14940.7848,101
2,PI3KPhosByTGFbR,19.7232,-32.9687028579463,3,54,3195.1584,57
3,RafPhosByPI3K,19.9915,-32.0769388814951,5,80,7996.6,85
4,PI3KDephosByErk,28.6091,-8.42137293744141,108,125,386222.85,233
5,MekPhosByPI3K,19.8598,-32.513172160935,4,69,5481.3048,73
6,PI3KPhosByMek,19.6374,-33.2564428298664,2,43,1688.8164,45
7,MekDephosByAkt,20.0764,-31.7972432455382,7,90,12648.132,97
8,RafPhosByTGFbR_PI3KPhosByTGFbR,19.8979,-28.5834843818101,21,73,30503.4807,94
9,RafPhosByTGFbR_RafPhosByPI3K,18.9734,-31.7235135998288,9,18,3073.6908,27
10,RafPhosByTGFbR_PI3KDephosByErk,19.7235,-29.1645074823279,16,57,17987.832,73
11,RafPhosByTGFbR_MekPhosByPI3K,20.0765,-27.993723012798,27,91,49327.9605,118
12,RafPhosByTGFbR_PI3KPhosByMek,18.5187,-33.3244733479727,1,10,185.187,11
13,RafPhosByTGFbR_MekDephosByAkt,20.1986,-27.5935440094568,30,98,59383.884,128
14,PI3KPhosByTGFbR_RafPhosByPI3K,19.518,-29.8557717809106,14,37,10110.324,51
15,PI3KPhosByTGFbR_PI3KDephosByErk,19.9931,-28.2684653585476,24,81,38866.5864,105
16,PI3KPhosByTGFbR_MekPhosByPI3K,19.8999,-28.5768508492977,22,76,33272.6328,98
17,PI3KPhosByTGFbR_PI3KPhosByMek,20.0254,-28.1619246104974,25,84,42053.34,109
18,PI3KPhosByTGFbR_MekDephosByAkt,19.897,-28.5864696889731,20,72,28651.68,92
19,RafPhosByPI3K_PI3KDephosByErk,20.2004,-27.5876626757566,31,99,61995.0276,130
20,RafPhosByPI3K_MekPhosByPI3K,20.1251,-27.8341471967812,29,95,55444.6505,124
21,RafPhosByPI3K_PI3KPhosByMek,19.9413,-28.4396862566917,23,77,35316.0423,100
22,RafPhosByPI3K_MekDephosByAkt,19.8246,-28.8270644933911,18,62,22124.2536,80
23,PI3KDephosByErk_MekPhosByPI3K,20.0598,-28.0486458663548,26,88,45896.8224,114
24,PI3KDephosByErk_PI3KPhosByMek,19.4492,-30.0888295689145,13,32,8090.8672,45
25,PI3KDephosByErk_MekDephosByAkt,31.9013,2.57066476217935,121,127,490227.2771,248
26,MekPhosByPI3K_PI3KPhosByMek,18.9338,-31.861408297973,6,16,1817.6448,22
27,MekPhosByPI3K_MekDephosByAkt,19.8411,-28.7721555890827,19,66,24880.7394,85
28,PI3KPhosByMek_MekDephosByAkt,19.6436,-29.4324168401917,15,44,12964.776,59
29,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K,19.5431,-25.8024031681798,40,38,29705.512,78
30,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk,19.897,-24.6179220479,52,71,73459.724,123
31,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K,27.7316,-2.70568506772341,116,115,369939.544,231
32,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek,19.4028,-26.2779263969016,35,31,21052.038,66
33,RafPhosByTGFbR_PI3KPhosByTGFbR_MekDephosByAkt,19.8996,-24.6092981955988,54,74,79518.8016,128
34,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,18.2266,-30.4052575179021,12,3,656.1576,15
35,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,20.147,-23.7938178436803,58,97,113347.022,155
36,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,19.2901,-26.6624011214423,33,28,17824.0524,61
37,RafPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,19.7231,-25.197298359657,45,53,47039.5935,98
38,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,19.7155,-25.2227353683849,44,52,45109.064,96
39,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,19.2753,-26.7130579302893,32,27,16653.8592,59
40,RafPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,22.615,-16.1669892499421,97,108,236914.74,205
41,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,26.4137,-5.91920805702328,113,112,334291.7872,225
42,RafPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,20.0896,-23.9821241404301,57,94,107640.0768,151
43,RafPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,18.1144,-30.8127985062818,11,2,398.5168,13
44,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,19.7482,-25.1133588783987,47,58,53833.5932,105
45,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,20.4175,-22.9135770107899,62,103,130386.155,165
46,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,19.4815,-26.0107642212934,37,33,23786.9115,70
47,PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,19.5991,-25.6135531535296,41,42,33749.6502,83
48,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,30.381,3.3164754158957,122,126,467016.732,248
49,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,19.8268,-24.8511930251568,49,63,61205.3316,112
50,PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,19.897,-24.6179220479,53,70,73817.87,123
51,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,22.8665,-15.4370586544189,100,110,251531.5,210
52,PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,20.0502,-24.111691344808,56,87,97684.5744,143
53,PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,19.8271,-24.8501943844178,50,64,63446.72,114
