ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,27.6094,-1142.85223087343,0,90,0
1,RafPhosByTGFbR,21.8662,-984.911036644752,4,44,3848.4512
2,PI3KPhosByTGFbR,20.4773,-989.242293907927,3,35,2150.1165
3,RafPhosByPI3K,27.3858,-970.055587335543,6,76,12487.9248
4,PI3KDephosByErk,19.6829,-991.853697233298,2,28,1102.2424
5,MekPhosByPI3K,18.564,-995.716414362735,1,17,315.588
6,PI3KPhosByMek,24.4075,-977.654442473977,5,55,6712.0625
7,MekDephosByAkt,27.7598,-969.160343527632,7,100,19431.86
8,RafPhosByTGFbR_PI3KPhosByTGFbR,18.3636,-876.432763643156,11,15,3029.994
9,RafPhosByTGFbR_RafPhosByPI3K,18.0266,-877.65521561464,10,14,2523.724
10,RafPhosByTGFbR_PI3KDephosByErk,30.2662,-843.455128804752,27,123,100514.0502
11,RafPhosByTGFbR_MekPhosByPI3K,25.2691,-855.364780816573,22,65,36134.813
12,RafPhosByTGFbR_PI3KPhosByMek,19.5727,-872.22425425476,14,25,6850.445
13,RafPhosByTGFbR_MekDephosByAkt,21.4381,-866.216011924147,15,40,12862.86
14,PI3KPhosByTGFbR_RafPhosByPI3K,21.584,-865.768361209028,16,41,14159.104
15,PI3KPhosByTGFbR_PI3KDephosByErk,18.569,-875.698640414926,12,18,4010.904
16,PI3KPhosByTGFbR_MekPhosByPI3K,27.5835,-849.58084029453,24,85,56270.34
17,PI3KPhosByTGFbR_PI3KPhosByMek,27.5287,-849.712092583206,23,83,52552.2883
18,PI3KPhosByTGFbR_MekDephosByAkt,24.5595,-857.24469581922,19,58,27064.569
19,RafPhosByPI3K_PI3KDephosByErk,17.548,-879.431174075682,8,6,842.304
20,RafPhosByPI3K_MekPhosByPI3K,24.5576,-857.249801983878,18,57,25196.0976
21,RafPhosByPI3K_PI3KPhosByMek,17.9847,-877.808800808617,9,13,2104.2099
22,RafPhosByPI3K_MekDephosByAkt,24.6975,-856.874879393936,20,59,29143.05
23,PI3KDephosByErk_MekPhosByPI3K,28.1948,-848.134133764416,25,107,75421.09
24,PI3KDephosByErk_PI3KPhosByMek,24.3589,-857.78599210905,17,54,22361.4702
25,PI3KDephosByErk_MekDephosByAkt,41.1675,-823.152371706483,28,125,144086.25
26,MekPhosByPI3K_PI3KPhosByMek,28.4802,-847.469411780336,26,110,81453.372
27,MekPhosByPI3K_MekDephosByAkt,18.6783,-875.311293106209,13,21,5099.1759
28,PI3KPhosByMek_MekDephosByAkt,24.9815,-856.120266612163,21,60,31476.69
29,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K,18.5791,-787.662751633727,35,19,12355.1015
30,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk,17.8486,-790.310158104449,31,9,4979.7594
31,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K,29.6318,-756.853237781002,60,120,213348.96
32,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek,29.2564,-757.694721665006,58,114,193443.3168
33,RafPhosByTGFbR_PI3KPhosByTGFbR_MekDephosByAkt,41.3961,-734.786892523051,63,126,328602.2418
34,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,24.2941,-769.961800487932,46,52,58111.4872
35,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,27.891,-760.849145268383,55,101,154934.505
36,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,20.1074,-782.445411143751,39,34,26662.4124
37,RafPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,18.5605,-787.72885897482,34,16,10096.912
38,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,18.6202,-787.516910120378,36,20,13406.544
39,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,28.3207,-759.840075895489,57,108,174342.2292
40,RafPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,23.5375,-772.049949970848,45,51,54018.5625
41,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,17.8029,-790.479362858921,29,7,3613.9887
