ModelID,Topology,AICc,RSS,AICc Rank,RSS Rank,f
0,Null,,,0,0,
1,RafPhosByTGFbR,,,1,1,
2,PI3KPhosByTGFbR,,,2,2,
3,RafPhosByPI3K,,,3,3,
4,PI3KDephosByErk,,,4,4,
5,MekPhosByPI3K,,,5,5,
6,PI3KPhosByMek,,,6,6,
7,MekDephosByAkt,,,7,7,
8,RafPhosByTGFbR_PI3KPhosByTGFbR,,,8,8,
9,RafPhosByTGFbR_RafPhosByPI3K,,,9,9,
10,RafPhosByTGFbR_PI3KDephosByErk,,,10,10,
11,RafPhosByTGFbR_MekPhosByPI3K,,,11,11,
12,RafPhosByTGFbR_PI3KPhosByMek,,,12,12,
13,RafPhosByTGFbR_MekDephosByAkt,,,13,13,
14,PI3KPhosByTGFbR_RafPhosByPI3K,,,14,14,
15,PI3KPhosByTGFbR_PI3KDephosByErk,,,15,15,
16,PI3KPhosByTGFbR_MekPhosByPI3K,,,16,16,
17,PI3KPhosByTGFbR_PI3KPhosByMek,,,17,17,
18,PI3KPhosByTGFbR_MekDephosByAkt,,,18,18,
19,RafPhosByPI3K_PI3KDephosByErk,,,19,19,
20,RafPhosByPI3K_MekPhosByPI3K,,,20,20,
21,RafPhosByPI3K_PI3KPhosByMek,,,21,21,
22,RafPhosByPI3K_MekDephosByAkt,,,22,22,
23,PI3KDephosByErk_MekPhosByPI3K,,,23,23,
24,PI3KDephosByErk_PI3KPhosByMek,,,24,24,
25,PI3KDephosByErk_MekDephosByAkt,,,25,25,
26,MekPhosByPI3K_PI3KPhosByMek,,,26,26,
27,MekPhosByPI3K_MekDephosByAkt,,,27,27,
28,PI3KPhosByMek_MekDephosByAkt,,,28,28,
29,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K,,,29,29,
30,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk,,,30,30,
31,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K,,,31,31,
32,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek,,,32,32,
33,RafPhosByTGFbR_PI3KPhosByTGFbR_MekDephosByAkt,,,33,33,
34,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,,,34,34,
35,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,,,35,35,
36,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,,,36,36,
37,RafPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,,,37,37,
38,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,,,38,38,
39,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,,,39,39,
40,RafPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,,,40,40,
41,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,,,41,41,
42,RafPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,,,42,42,
43,RafPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,,,43,43,
44,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,,,44,44,
45,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,,,45,45,
46,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,,,46,46,
47,PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,,,47,47,
48,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,,,48,48,
49,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,,,49,49,
50,PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,,,50,50,
51,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,,,51,51,
52,PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,,,52,52,
53,PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,,,53,53,
54,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,,,54,54,
55,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,,,55,55,
56,RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,,,56,56,
57,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,,,57,57,
58,RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,,,58,58,
59,RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,59,59,
60,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,,,60,60,
61,PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,,,61,61,
62,PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,,,62,62,
63,MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,63,63,
64,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,,,64,64,
65,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,,,65,65,
66,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,,,66,66,
67,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,,,67,67,
68,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,,,68,68,
69,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,,,69,69,
70,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,,,70,70,
71,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,,,71,71,
72,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,,,72,72,
73,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,,,73,73,
74,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,,,74,74,
75,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,,,75,75,
76,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,,,76,76,
77,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,,,77,77,
78,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,,,78,78,
79,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,79,79,
80,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,,,80,80,
81,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,,,81,81,
82,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,,,82,82,
83,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,83,83,
84,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,,,84,84,
85,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,,,85,85,
86,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,,,86,86,
87,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,,,87,87,
88,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,,,88,88,
89,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,89,89,
90,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,,,90,90,
91,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,,,91,91,
92,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,,,92,92,
93,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,93,93,
94,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,,,94,94,
95,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,,,95,95,
96,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,,,96,96,
97,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,97,97,
98,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,98,98,
99,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,,,99,99,
100,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,,,100,100,
101,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,,,101,101,
102,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,,,102,102,
103,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,,,103,103,
104,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,104,104,
105,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,,,105,105,
106,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,,,106,106,
107,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,,,107,107,
108,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,108,108,
109,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,,,109,109,
110,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,,,110,110,
111,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,,,111,111,
112,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,112,112,
113,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,113,113,
114,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,,,114,114,
115,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,,,115,115,
