ModelID,Topology,AICc,RSS,AICc Rank,RSS Rank,f
0,Null,,,0,0,0
1,AktActivate,,,1,1,1
2,ErkActivate,,,2,2,4
3,AktInhibit,,,3,3,9
4,ErkInhibit,,,4,4,16
5,AktActivate_ErkActivate,,,5,5,25
6,AktActivate_AktInhibit,,,6,6,36
7,AktActivate_ErkInhibit,,,7,7,49
8,ErkActivate_AktInhibit,,,8,8,64
9,ErkActivate_ErkInhibit,,,9,9,81
10,AktInhibit_ErkInhibit,,,10,10,100
11,AktActivate_ErkActivate_AktInhibit,,,11,11,121
12,AktActivate_ErkActivate_ErkInhibit,,,12,12,144
13,AktActivate_AktInhibit_ErkInhibit,,,13,13,169
14,ErkActivate_AktInhibit_ErkInhibit,,,14,14,196
15,AktActivate_ErkActivate_AktInhibit_ErkInhibit,,,15,15,225
