,Topology,AICc,RSS,AICc Rank,RSS Rank,f
0,Null,,,0,2,
1,RafPhosByTGFbR,,,1,3,
2,PI3KPhosByTGFbR,,,2,4,
3,RafPhosByPI3K,,,3,5,
4,PI3KDephosByErk,,,4,6,
5,MekPhosByPI3K,,,5,7,
6,PI3KPhosByMek,,,6,8,
7,MekDephosByAkt,,,7,9,
8,RafPhosByTGFbR_PI3KPhosByTGFbR,,,8,10,
9,RafPhosByTGFbR_RafPhosByPI3K,,,9,11,
10,RafPhosByTGFbR_PI3KDephosByErk,,,10,12,
11,RafPhosByTGFbR_MekPhosByPI3K,,,11,13,
12,RafPhosByTGFbR_PI3KPhosByMek,,,12,14,
13,RafPhosByTGFbR_MekDephosByAkt,,,13,15,
14,PI3KPhosByTGFbR_RafPhosByPI3K,,,14,16,
15,PI3KPhosByTGFbR_PI3KDephosByErk,,,15,17,
16,PI3KPhosByTGFbR_MekPhosByPI3K,,,16,18,
17,PI3KPhosByTGFbR_PI3KPhosByMek,,,17,19,
18,PI3KPhosByTGFbR_MekDephosByAkt,,,18,20,
19,RafPhosByPI3K_PI3KDephosByErk,,,19,21,
20,RafPhosByPI3K_MekPhosByPI3K,,,20,22,
21,RafPhosByPI3K_PI3KPhosByMek,,,21,23,
22,RafPhosByPI3K_MekDephosByAkt,,,22,24,
23,PI3KDephosByErk_MekPhosByPI3K,,,23,25,
24,PI3KDephosByErk_PI3KPhosByMek,,,24,26,
25,PI3KDephosByErk_MekDephosByAkt,,,25,27,
26,MekPhosByPI3K_PI3KPhosByMek,,,26,28,
27,MekPhosByPI3K_MekDephosByAkt,,,27,29,
28,PI3KPhosByMek_MekDephosByAkt,,,28,30,
29,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K,,,29,31,
30,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk,,,30,32,
31,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K,,,31,33,
32,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek,,,32,34,
33,RafPhosByTGFbR_PI3KPhosByTGFbR_MekDephosByAkt,,,33,35,
34,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,,,34,36,
35,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,,,35,37,
36,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,,,36,38,
37,RafPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,,,37,39,
38,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,,,38,40,
39,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,,,39,41,
40,RafPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,,,40,42,
41,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,,,41,43,
42,RafPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,,,42,44,
43,RafPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,,,43,45,
44,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,,,44,46,
45,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,,,45,47,
46,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,,,46,48,
47,PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,,,47,49,
48,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,,,48,50,
49,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,,,49,51,
50,PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,,,50,52,
51,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,,,51,53,
52,PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,,,52,54,
53,PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,,,53,55,
54,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,,,54,56,
55,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,,,55,57,
56,RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,,,56,58,
57,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,,,57,59,
58,RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,,,58,60,
59,RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,59,61,
60,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,,,60,62,
61,PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,,,61,63,
62,PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,,,62,64,
63,MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,,,63,65,
64,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,,,64,66,
65,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,,,65,67,
66,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,,,66,68,
