,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,,,127,127,16129
1,RafPhosByTGFbR,0.321869,-111.422207579631,0,49,0
2,PI3KPhosByTGFbR,0.345747,-110.56345562063,1,86,86
3,RafPhosByPI3K,0.346748,-110.528763649233,2,95,190
4,PI3KDephosByErk,4.00776,-81.1600900164542,126,126,15876
5,MekPhosByPI3K,0.346748,-110.528763649233,3,100,300
6,PI3KPhosByMek,0.348935,-110.453315243985,4,116,464
7,MekDephosByAkt,0.34894,-110.453143293421,5,118,590
8,RafPhosByTGFbR_PI3KPhosByTGFbR,0.318688,-105.255678046537,6,27,162
9,RafPhosByTGFbR_RafPhosByPI3K,0.321869,-105.136493293917,9,55,495
10,RafPhosByTGFbR_PI3KDephosByErk,0.321869,-105.136493293917,10,52,520
11,RafPhosByTGFbR_MekPhosByPI3K,0.321869,-105.136493293917,11,51,561
12,RafPhosByTGFbR_PI3KPhosByMek,0.318817,-105.250821613972,7,41,287
13,RafPhosByTGFbR_MekDephosByAkt,0.321869,-105.136493293917,8,50,400
14,PI3KPhosByTGFbR_RafPhosByPI3K,0.324314,-105.045682672097,12,62,744
15,PI3KPhosByTGFbR_PI3KDephosByErk,0.345747,-104.277741334916,14,87,1218
16,PI3KPhosByTGFbR_MekPhosByPI3K,0.334084,-104.689519359176,13,77,1001
17,PI3KPhosByTGFbR_PI3KPhosByMek,0.345747,-104.277741334916,15,88,1320
18,PI3KPhosByTGFbR_MekDephosByAkt,0.345753,-104.277533091966,16,93,1488
19,RafPhosByPI3K_PI3KDephosByErk,0.749103,-94.9997109705084,95,123,11685
20,RafPhosByPI3K_MekPhosByPI3K,0.346748,-104.243049363519,17,105,1785
21,RafPhosByPI3K_PI3KPhosByMek,0.346748,-104.243049363519,18,106,1908
22,RafPhosByPI3K_MekDephosByAkt,0.346749,-104.243014756304,22,112,2464
23,PI3KDephosByErk_MekPhosByPI3K,0.346748,-104.243049363519,19,107,2033
24,PI3KDephosByErk_PI3KPhosByMek,0.387641,-102.905273016613,24,119,2856
