name,start_value,lower_bound,upper_bound
Akt,99.41325621765564,0.01,100
Erk,183.3319340078131,0.01,100
Mek,252.8763130007913,0.01,100
PI3K,99.96031823984222,0.01,100
Raf,87.93260871880781,0.01,100
S6K,90.507000042359,0.01,100
Smad2,49.67790769651222,0.01,100
mTORC1,90.27247023196611,0.01,100
pAkt,0.5867592721736561,0.01,100
pErk,117.88224680167838,0.01,100
pMek,56.06426444668321,0.01,100
pPI3K,0.039697252986920666,0.01,100
pRaf,12.067406775916337,0.01,100
pS6K,9.493015451470216,0.01,100
pSmad2,0.5005630775513709,0.01,100
pmTORC1,9.727545260863184,0.01,100
ppErk,43.08627048616518,0.01,100
ppMek,29.029516703645957,0.01,100
_kAktPhos_kcat,1.5,0.01,100
_kAktPhos_ki,0.01,0.01,100
_kMekPhos_ki,0.02,0.01,100
_kPI3KDephosByErk,0.5,0.01,100
_kPI3KDephosByS6K,25.0,0.01,100
_kPI3KPhosByGF,0.239474698704283,0.01,100
_kPI3KPhosByTGFbR_kcat,50.0,0.01,100
_kRafPhosByPI3K_kcat,5.0,0.01,100
_kRafPhosByTGFbR_kcat,265.0,0.01,100
_kS6KPhosBymTORC1_kcat,0.5,0.01,100
_kSmad2Phos_kcat,20.0,0.01,100
_kTGFbOn,0.1,0.01,100
_kmTORC1Phos_kcat,100.0,0.01,100
_kmTORC1Phos_ki,0.005,0.01,100
_kmTORCPhosBasal_Vmax,10.0,0.01,100
