Time	[ppMek]	[ppErk]	[Raf]	[pRaf]	[TGFbR_Cav]	[TGFbR_EE]	[TGFbR_a]	[TGFbR]	[Smad2n]	[pSmad2n]	[pSmad2]	[Smad2]	[pMek]	[Mek]	[pmTORC1]	[mTORC1]	[pAkt]	[Akt]	[pPI3K]	[PI3K]	[pErk]	[Erk]	[pS6K]	[S6K]	Values[kSmad2Dephos_km]	Values[kSmad2Phos_kcat]	Values[kRafPhosByTGFbR_kcat]	Values[TGFb]	Values[kTGFbOn]	Values[pSmad2Tot]	Values[Smad2Tot]	Values[kSmad2Phos_km]	Values[kTGFbRRecyc]	Values[kTGFbRIntern]	Values[kTGFbOff]	Values[kmTORC1Dephos_km]	Values[kS6KDephos_km]	Values[kMekPhos_ki1]	Values[kMekPhos_km1]	Values[kRafDephosVmax]	Values[kRafDephos_km]	Values[kRafPhos_n]	Values[kRafPhos_Vmax]	Values[kRafPhos_ki]	Values[kRafPhos_km]	Values[GrowthFactors]	Values[kSmad2Dephos_Vmax]	Values[kAktPhos_ki]	Values[kAktPhos_km]	Values[MK2206]	Values[kAktPhos_kcat]	Values[kAktDephos_Vmax]	Values[kAktDephos_km]	Values[kmTORC1Phos_ki]	Values[kmTORC1Phos_km]	Values[Everolimus]	Values[kmTORC1Phos_kcat]	Values[kPI3KPhosByTGFbR_kcat]	Values[kPI3KPhosByTGFbR_km]	Values[kSmad2DephosByErk_kcat]	Values[kSmad2DephosByErk_km]	Values[kmTORC1Dephos_Vmax]	Values[kS6KPhosBymTORC1_km]	Values[kS6KPhosBymTORC1_kcat]	Values[kS6KDephos_Vmax]	Values[kSmad2PhosByAkt_km]	Values[kPI3KDephosByErk]	Values[kSmad2PhosByAkt_kcat]	Values[kRafPhosByTGFbR_km]	Values[kMekDephos_km1]	Values[kMekDephos_Vmax1]	Values[kMekPhos_kcat1]	Values[AZD]	Values[kErkDephos_km1]	Values[kErkDephos_Vmax1]	Values[kErkPhos_km1]	Values[kErkPhos_kcat1]	Values[kPI3KPhosByGF]	Values[kPI3KDephosByS6K]	Values[kRafPhosByPI3K_km]	Values[kRafPhosByPI3K_kcat]
0	29.0295	43.0863	87.9326	12.0674	9.66719	12.5503	0.966719	76.8397	49.7768	0.0447836	0.500563	49.6779	56.0643	252.876	9.72754	90.2725	0.586759	99.4132	0.0396972	99.9603	117.882	183.332	9.49301	90.507	60	0.1	265	0.005	0.1	0.545347	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
0.1	6.12414	60.4046	84.5031	15.4969	9.66734	12.5409	0.975958	76.8397	49.8145	0.00705225	0.512217	49.6662	18.1327	313.713	9.71933	90.2807	0.702823	99.2972	2.10372	97.8963	118.297	165.599	7.43956	92.5604	60	0.1	265	0.005	0.1	0.519269	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
0.2	11.6697	39.5172	78.209	21.791	9.66779	12.5318	0.984538	76.8398	49.8191	0.00249383	0.52343	49.655	25.4666	300.834	9.71128	90.2887	0.884088	99.1159	2.81611	97.1839	107.501	197.282	5.69947	94.3005	60	0.1	265	0.005	0.1	0.525924	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
0.3	8.74024	48.3516	81.9332	18.0668	9.66852	12.523	0.992506	76.8399	49.8209	0.000733354	0.534536	49.6439	22.6145	306.615	9.70345	90.2966	1.10745	98.8926	3.43953	96.5605	109.169	186.78	4.28001	95.72	60	0.1	265	0.005	0.1	0.53527	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
0.4	10.5947	43.1054	79.8358	20.1642	9.6695	12.5144	0.999905	76.8401	49.8213	0.000251037	0.545827	49.6326	24.7579	302.617	9.69588	90.3041	1.40637	98.5936	4.48275	95.5173	105.915	195.28	3.16955	96.8305	60	0.1	265	0.005	0.1	0.546078	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
0.5	9.53465	45.965	81.0194	18.9806	9.67071	12.5062	1.00678	76.8402	49.8215	7.90286e-05	0.557703	49.6208	23.5983	304.837	9.68867	90.3113	1.7774	98.2226	5.48815	94.5118	106.892	191.443	2.33705	97.6629	60	0.1	265	0.005	0.1	0.557782	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
0.6	10.2058	44.8054	80.3363	19.6637	9.67214	12.4982	1.01316	76.8404	49.8216	2.6049e-05	0.570524	49.6079	24.4196	303.345	9.68189	90.3181	2.24427	97.7557	6.80053	93.1995	106.131	193.364	1.73734	98.2627	60	0.1	265	0.005	0.1	0.57055	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
0.7	9.8312	45.8961	80.7148	19.2852	9.67377	12.4904	1.01908	76.8406	49.8216	8.2619e-06	0.58469	49.5938	23.9747	304.164	9.67563	90.3244	2.79294	97.2071	7.96074	92.0393	106.708	191.697	1.31991	98.6801	60	0.1	265	0.005	0.1	0.584698	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
0.8	10.0703	45.7878	80.4894	19.5106	9.67558	12.4829	1.02458	76.8409	49.8216	2.64872e-06	0.600473	49.578	24.2815	303.618	9.66998	90.33	3.42077	96.5792	9.16655	90.8334	106.678	191.835	1.03717	98.9628	60	0.1	265	0.005	0.1	0.600475	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
0.9	9.93985	46.3202	80.6157	19.3843	9.67756	12.4755	1.02969	76.8412	49.8216	8.33293e-07	0.618066	49.5604	24.1214	303.909	9.665	90.335	4.09889	95.9011	10.0879	89.9121	107.051	190.929	0.849542	99.1505	60	0.1	265	0.005	0.1	0.618067	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
1	10.0225	46.4179	80.5391	19.4609	9.67971	12.4683	1.03443	76.8414	49.8216	2.62171e-07	0.637485	49.541	24.2284	303.719	9.66074	90.3393	4.8067	95.1933	10.8806	89.1194	107.183	190.7	0.726803	99.2732	60	0.1	265	0.005	0.1	0.637485	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
1.1	9.97679	46.6999	80.5835	19.4165	9.68199	12.4613	1.03884	76.8418	49.8216	8.17115e-08	0.658636	49.5198	24.172	303.821	9.65721	90.3428	5.51771	94.4823	11.4171	88.5829	107.418	190.183	0.647295	99.3527	60	0.1	265	0.005	0.1	0.658636	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
1.2	10.0049	46.797	80.5564	19.4436	9.68441	12.4545	1.04292	76.8421	49.8216	2.54172e-08	0.681308	49.4972	24.2075	303.758	9.6544	90.3456	6.2151	93.7849	11.8244	88.1756	107.541	189.963	0.596123	99.4039	60	0.1	265	0.005	0.1	0.681308	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
1.3	9.98941	46.9511	80.5721	19.4279	9.68695	12.4478	1.04672	76.8424	49.8216	7.8689e-09	0.705243	49.4732	24.1889	303.792	9.6523	90.3477	6.88543	93.1146	12.0806	87.9194	107.68	189.669	0.563324	99.4367	60	0.1	265	0.005	0.1	0.705243	100	50	0.0333333	0.333333	0.04	100	10	0.25	15	3602.5	8	1	9000	3.5	10	1	65	0.01	12.5	0	1.5	30	15	0.001	3	1	0.35	50	10	7.5	30	1	100	0.5	50	40	0.5	0.1	25	15	2700	90	0	15	1800	50	200	0.239475	25	50	5
