,D,T,E,EA72,EA48,EA24,EA1.25,A72,A48,A24
4EBP-pT3746,1.0717135284036479,1.1892727420247742,1.098197220868551,0.7211718724475878,1.0748006082610133,1.091336703336572,1.0751191364577963,0.9041200353537949,0.8847650002083668,0.9743358331054711
Akt-pT308,0.5622826521254511,0.6090816235917217,1.8516810620560407,1.4137444467500033,1.4179681616563151,1.350069569479836,1.9728696542248874,0.4647324655332194,0.38671472443823984,0.5030432047867075
ERK-pT202,1.9063602799524648,2.454195036661581,4.573685165845657,0.2657579909075943,0.1690982496300235,0.11908348219034152,0.08499183067784627,0.17443751113259098,0.17870515370017925,0.10940302831121643
PDK1-pS241,0.6473243459233206,0.6903888981487709,1.1283375185760898,1.1360311169107105,1.240784740881855,1.3437210719508454,1.2502170862444344,1.133412172594189,0.9816579515494429,0.9927174847742242
PRAS40-pS183,0.9589461702861806,1.335881324717266,1.0435274416973899,0.7678548112108585,0.9089719823747351,0.971291261141981,1.0661639963600373,1.1362777075692116,0.8847892658631897,1.0072540117501017
PRAS40-pT246,0.9056309892566908,1.1166506718576252,1.432890968571784,0.9935230401946085,1.2051697828216268,1.261158109382138,1.4333208211801696,0.637656228331213,0.45315817415577947,0.7145096073182989
S6K-pT389,1.6420635440585947,1.8055218721934314,0.6330935758521472,,0.4924897364348183,0.49780648463950616,0.4676518870328773,,1.0151725216237668,0.9972864425040713
SMAD2-pS465-467,0.21250314396957623,0.3529775396017668,1.2165102687138794,1.395661532624515,1.406642546682023,1.4994409427927025,1.1280750559989583,1.4154270946073024,1.4030629972949398,1.0923630053658198
TSC2,0.4668040712493048,0.6064621004107893,0.8264456751031883,1.066246563997844,1.1344018532907498,1.2105540774893462,0.9503343857314384,1.2777114661003202,1.446340014224247,1.4164226354510576
TSC2-pT1462,0.4858715358423997,0.6988151929737344,0.9200448339948007,1.4355555049789768,1.173623445560875,1.3853436940581063,0.6746458087343878,1.2649897175140237,1.1596781079978404,1.0340736781362243
