,D,T,E,EA72,EA48,EA24,EA1.25,A72,A48,A24
4EBP-pT3746,0.32861551426639446,0.4294142819222799,0.30624199224132953,0.15615989027214888,0.29838937732737053,0.2421068416227559,0.253597983420821,0.19152803457471074,0.1721334812822387,0.12451095322661576
Akt-pT308,0.1396445107033911,0.10670747008725275,0.6056689409397968,0.23711964272451266,0.28795644373384777,0.14510578954210662,0.5342476241418384,0.06931036628968483,0.1351536626239826,0.1632232667450234
ERK-pT202,0.3687154592943134,0.5306126663779829,0.976351095024621,0.1237693921618412,0.07677953277187123,0.05546265493260272,0.06356034912609533,0.059305765952394236,0.07256211352997942,0.10659768763348794
PDK1-pS241,0.18251232659772904,0.18279640090061355,0.23697613361101547,0.22099632978591163,0.1660317793383724,0.1293498482623047,0.07046559899834379,0.06716702719110867,0.13868495209434073,0.32288448515499213
PRAS40-pS183,0.174237435054539,0.22405507561166363,0.15112904082916573,0.13700074034442225,0.11685152056421244,0.13196517922074433,0.19808516678909793,0.09405261905880942,0.1207679809001622,0.282909350527023
PRAS40-pT246,0.12529713074918472,0.0658501845450569,0.3389256856379425,0.4044560855966095,0.10406963035917845,0.3565825043197844,0.368671905137351,0.14109821877937287,0.08897132558416544,0.20853552185426713
S6K-pT389,0.22129311985457217,0.3304516696882195,0.22965781413939637,,0.13418628183266665,0.060365597473651667,0.06577905742009126,,0.16171486825100884,0.1908755351949261
SMAD2-pS465-467,0.03595840300934541,0.05886346371761754,0.1948445847249067,0.21898483254689688,0.11090615985728466,0.0896541439821094,0.12385653991720252,0.1682791401037802,0.18394334108870447,0.19590622230358945
TSC2,0.1338751188611339,0.1432809477515345,0.1419226455274324,0.20623271010349375,0.46527231168083766,0.28608667068702076,0.2561706730056328,0.3759429583917365,0.23395778899549438,0.5642523515309444
TSC2-pT1462,0.22966369644102513,0.2596317721703708,0.5507303989980065,0.8998604574577752,0.7559850002344536,0.7258543779399705,0.3537126381578979,0.5228883522685338,0.40969483205728174,0.8108154463672816
