condition_code,Akt-pT308,ERK-pT202,S6K-pT389,SMAD2-pS465-467
D,10.823755192291173,3.4099687139698553,14.324122926706371,5.6703823362198875
E,33.156779789268306,8.775469460820707,5.130201667426528,14.568933908048512
EM1.25,7.12351687165503,12.33765945313204,4.483441954906738,17.77155916662103
EM24,6.440698140834989,14.21564158230392,4.287248772628123,14.397994887701444
EM48,6.666458143403108,18.902461769794954,5.897333083145254,11.720499111130906
EM72,5.578343298858229,18.384296156302632,6.4175204291181664,8.54223384846484
M1.25,7.853612506743159,7.868306095674933,10.30235682145273,10.977790058102478
M24,5.873276374609551,8.330804872592463,11.077810657941606,7.173259445886993
M48,4.561980164835326,9.323115017198264,14.491668386203163,7.275683901320787
M72,4.477586415722941,9.89921477909406,12.521784771500515,6.354710491262143
T,14.432727375413279,4.788095332069206,15.89626817157184,8.566078161154369
