condition_code,Akt-pT308,ERK-pT202,S6K-pT389,SMAD2-pS465-467
A1.25,2.8005463753649007,0.3074552147319568,1.3735703021835923,0.8593527724361527
A24,0.7299566399029063,0.4767193515855355,0.8536213438750164,0.876119260572023
A48,0.6044255540705954,0.3245076368881824,0.7232108767633564,0.8226196293655466
A72,0.34655183144842416,0.2965288297619712,1.306541475732606,0.8413957005189012
D,0.6245092372349589,1.6489456626742822,0.9896529178956636,0.16081086698245872
E,2.708633847603382,4.366374836762819,1.0270609679594054,0.8713714729852171
EA1.25,2.389228008797817,0.28425052263913697,0.29417288777437195,0.553903285425562
EA24,0.648932818689857,0.24803653328382744,0.2699631589069494,0.40094552081710044
EA48,1.2877803654959534,0.34336850911715383,0.6000992956515755,0.49598742512869365
EA72,1.1855982136225633,0.618846960809206,0.652028100337767,1.0949241627344848
T,0.4772103136442451,2.3729719834871736,1.477824793402331,0.2632454125273706
