,,D,T,E,EA72,EA48,EA24,EA1.25,A72,A48,A24
4E-BP1 pT3746,2,0.6799823743033865,0.7318083706851726,0.982722853874282,0.903650438236746,0.8591613219668978,1.5174437825703655,1.4225836908461116,0.7685571645881867,1.0233437016895606,0.7038076960479468
4E-BP1 pT3746,3,0.609016800500849,1.0093692105746395,1.2310332284775922,1.4423162724000855,1.1780585360842613,1.0726504353327628,1.122627868428914,0.8244039737345318,0.983888534325294,1.1789210043870124
4E-BP1 pT3746,4,0.5390731328043815,0.4945410592621809,0.6689040565907968,0.724629771349827,1.1605506499753155,1.3374395953059792,1.196807124081645,1.498203992588197,1.1524050507174726,0.7812999224030821
Akt-pT308,0,0.8731204284613294,2.0657724765694976,1.7355602874981853,0.6495216650155022,0.7458960791479545,0.7571358816377962,0.9466959099617593,0.5466197316435998,0.537475424576872,0.7019318148935392
Akt-pT308,1,1.1648147839615346,1.138972235606878,4.6619415975692355,0.5928454637457727,0.8120863258133213,0.5694223138122676,0.6530717938968679,0.3494061006747139,0.2760166383317587,0.38217582491519636
Akt-pT308,2,1.2879274413239563,1.2558791676549903,4.254988405990489,0.3999436812444505,0.38023652385145734,0.5626864739606643,0.40736568238335646,0.26727355972792927,0.27434083593491,0.5435056233712066
Akt-pT308,3,1.0036394231696488,1.3124670703339465,2.610221624649413,0.5890265095375661,0.7283643285485102,0.6870345869232675,0.8422733624200289,0.6277351742429337,0.7369591670905894,0.7216972866638783
Akt-pT308,4,0.9345716027669111,1.1866364446710755,4.229655273789255,1.1361789663991566,1.0601146088667897,0.976853113854975,2.446420491935469,0.6321713126901917,0.3673210284819908,0.33979404114803474
ERK-pT202,0,0.38772711407423055,0.8064525893135663,0.7894837210371791,1.7309026632998035,1.9891160041355025,1.3106501064152034,1.124418658310681,0.7593493687399642,0.6460529445102384,0.8883106080677822
ERK-pT202,1,0.26129570143909403,0.22797793702344965,0.9221394814839685,2.106736629533639,2.054046460243484,1.1802780675749813,1.2625685828289281,1.118643076136957,1.2237246750624113,1.026124335187858
ERK-pT202,2,0.45171227837786126,0.4297445874749123,0.7074451556942549,1.5634444315938758,1.7297296866395409,1.8621279946004317,1.190861811197028,1.05096221448076,0.9772352945327244,0.9164322799733869
ERK-pT202,3,0.26325239169675646,0.45106301901575435,1.0911194261128803,1.952634738093735,1.7880925568994546,1.3332004643309519,1.357214728916179,1.0307312522799426,0.8822330927739316,0.5014547258079579
ERK-pT202,4,0.6008155585291467,0.6600286356935875,1.7655074834127946,2.782328962201139,2.6330268315942966,1.4214633916834782,1.1289153647213723,0.7614749640284075,0.6892561687809569,0.6229753848840858
PDK1-pS241,1,0.7702140830036746,0.6785813432071297,1.2553455825875268,1.6645657079459062,1.8098551975989747,0.9993866228938262,0.881581010505962,0.9668674131573245,0.6913939401759328,1.0566247720063762
PDK1-pS241,2,0.94241180888477,0.8326689200594476,0.7104594530375693,1.2380318735726115,1.2787786209058452,1.224151239983326,0.9181114386269795,0.833390551732845,1.0440918231713678,1.0525404414008208
PDK1-pS241,3,0.6151173767113579,0.7006891890809733,1.1334656556431177,1.4588647218526978,1.0753998164529899,0.9224297479842115,1.0247142276443924,1.1536908621935005,1.0376733266742342,0.5914080864017921
PDK1-pS241,4,0.5688458519923854,0.7506999799496452,1.1099722546772386,2.1767141521483673,2.4427649635975937,1.5330968641687042,1.0772495222996934,1.1498042813178537,0.7975877501102964,0.5545119010417876
