condition_code,Akt-pT308,ERK-pT202,S6K-pT389,SMAD2-pS465-467
D,0.3600307835094392,0.4135632833053989,2.753676829325205,0.3922069535650882
T,0.5581370578264174,0.5723938654721683,3.1547012700318287,0.5943491678805364
E,1.0,1.0,1.0,1.0
EM72,0.2052664632600471,2.1191559799744804,1.246006598612059,0.5852647238836916
EM48,0.24309324935650814,2.2077000186849047,1.1362232394030671,0.8029006942739769
EM24,0.23846057729469639,1.6985305091935126,0.8220444346019562,0.9947411145074396
EM1.25,0.27599419487860694,1.4301549267565856,0.8722456767688254,1.229334821617056
M72,0.1733017057843535,1.1512886440175611,2.4441782146788724,0.4474148270796993
M48,0.1789253592321991,1.083822227764464,2.8490976058803397,0.5122773911214006
M24,0.22266037744626085,0.9982332983010314,2.137481028620232,0.49095434345570876
M1.25,0.3039888114700556,0.9107807632649392,2.0836108124965778,0.7606242411338531
