condition_code,Akt-pT308,ERK-pT202,S6K-pT389,SMAD2-pS465-467
D,0.0551422017642056,0.0927609767713406,0.5183790909333957,0.06134394652628886
T,0.21800005543061196,0.16681684768327085,0.7620943419914059,0.06347511933805149
E,0.0,0.0,0.0,0.0
EM72,0.06288227142785188,0.11166417109040133,0.1526372981955114,0.035450695727399735
EM48,0.07332669701657604,0.19950590958943457,0.22008613443650482,0.09339134903908085
EM24,0.07333992921528873,0.3260395660428806,0.23403356402910752,0.0748531515838331
EM1.25,0.1023719646003999,0.09244399515959907,0.06324038473174926,0.11536672795939701
M72,0.06222292145339804,0.12720024620986697,0.04703748630882026,0.08417743501913987
M48,0.06783747506587393,0.1565107616330622,0.32975138480766486,0.10845187006091893
M24,0.07345314013527952,0.1843223215404303,0.3536876076894221,0.04854651079231807
M1.25,0.10858912602513704,0.10421835568520112,0.9960338706650204,0.07330900151382418
